147913,mc14_13TeV.147913.Pythia8_AU2CT10_jetjet_JZ3W.recon.AOD.e2743_s1982_s2008_r5787,1.448e6,1,1.8068E-03
147914,mc14_13TeV.147914.Pythia8_AU2CT10_jetjet_JZ4W.recon.AOD.e2743_s1982_s2008_r5787,23.093e3,1,1.3276E-03
147915,mc14_13TeV.147915.Pythia8_AU2CT10_jetjet_JZ5W.recon.AOD.e2743_s1982_s2008_r5787,237.93,1,5.0449E-03
147916,mc14_13TeV.147916.Pythia8_AU2CT10_jetjet_JZ6W.recon.AOD.e2743_s1982_s2008_r5787,5.428,1,1.3886E-02
147917,mc14_13TeV.147917.Pythia8_AU2CT10_jetjet_JZ7W.recon.AOD.e2743_s1982_s2008_r5787,0.94172,1,6.7141E-02
203793,mc14_13TeV.203793.Pythia8_AU2MSTW2008LO_Wprime_WZ_qqqq_m1500.recon.AOD.e3215_s1982_s2008_r5787,35.547e-3,1,1
182814,mc14_13TeV.182814.Pythia8_AU2MSTW2008LO_Wprime_WZ_qqqq_m2000.recon.AOD.e3255_s1982_s2008_r5787,8.911e-3,1,1
203794,mc14_13TeV.203794.Pythia8_AU2MSTW2008LO_Wprime_WZ_qqqq_m2000.recon.AOD.e3215_s1982_s2008_r5787,8.941e-3,1,1
203795,mc14_13TeV.203795.Pythia8_AU2MSTW2008LO_Wprime_WZ_qqqq_m2500.recon.AOD.e3215_s1982_s2008_r5787,2.6605e-3,1,1
203796,mc14_13TeV.203796.Pythia8_AU2MSTW2008LO_Wprime_WZ_qqqq_m3000.recon.AOD.e3215_s1982_s2008_r5787,0.79763e-3,1,1
203797,mc14_13TeV.203797.Pythia8_AU2MSTW2008LO_Wprime_WZ_qqqq_m3500.recon.AOD.e3215_s1982_s2008_r5787,0.27388e-3,1,1
180157,mc14_13TeV.180157.Pythia8_AU2MSTW2008LO_Wprime_2000_WZ_lvjj.recon.AOD.e2743_s1982_s2008_r5787,2.847e-3,1,1
